title,budget,runtime,Budget_Per_Minute
"That's My Boy",70000000,116,603448
"The East",6500000,116,56034
Flight,31000000,138,224638
"The Big Wedding",35000000,90,388889
"Jefferson in Paris",14000000,139,100719
"Movie 43",6000000,90,66667
"Trouble with the Curve",0,111,0
"Here Comes the Boom",0,105,0
"Life of Pi",120000000,127,944882
"Sisters in Law",0,104,0
"Seeking a Friend for the End of the World",10000000,101,99010
Sparkle,14000000,116,120690
"Parental Guidance",25000000,104,240385
"There Goes My Baby",10500000,99,106061
"Journey to the Center of the Earth",45000000,93,483871
"J. Edgar",35000000,137,255474
"Darling Companion",0,103,0
"This Is 40",35000000,134,261194
"La otra conquista",0,105,0
Samsara,4000000,102,39216
"Pink Ribbons, Inc.",900000,97,9278
"High Road",0,87,0
"Stiff Upper Lips",0,99,0
"Now Is Good",0,103,0
"I Love You, Don't Touch Me!",0,86,0
"L!fe Happens",930000,100,9300
Illuminata,0,119,0
"16 to Life",0,118,0
"Transformers: Age of Extinction",210000000,165,1272727
"Insidious: Chapter 2",5000000,106,47170
"Nothing But a Man",0,95,0
"Silent House",2000000,85,23529
Bernie,5000000,100,50000
"Snow White: A Deadly Summer",1000000,85,11765
"Despicable Me 2",76000000,98,775510
"Chernobyl Diaries",0,88,0
"Straight Out of Brooklyn",0,0,NULL
"Serbuan maut",1100000,101,10891
"Alex Cross",45000000,101,445545
"Cirque du Soleil: Worlds Away",0,91,0
"Small Apartments",2000000,96,20833
"Never Again",0,98,0
"For Greater Glory - The True Story of Cristiada",12000000,145,82759
"My Last Day Without You",1000000,90,11111
Rush,38000000,123,308943
"Anna Karenina",0,130,0
RoboCop,120000000,102,1176471
"The Place Beyond the Pines",15000000,140,107143
"Under the Skin",13300000,108,123148
"The Man with the Iron Fists",15000000,96,156250
Deadfall,12000000,95,126316
"Zero Dark Thirty",40000000,157,254777
"Broken City",56000000,109,513761
"Blue Like Jazz",1250000,106,11792
"The Legend of Hell's Gate: An American Conspiracy",0,108,0
"Dysfunctional Friends",1800000,101,17822
"Teenage Mutant Ninja Turtles",125000000,101,1237624
"Enter Nowhere",0,90,0
"The Jimmy Show",0,96,0
"Avengers: Age of Ultron",280000000,141,1985816
"Dumb and Dumber To",40000000,110,363636
"I, Frankenstein",65000000,92,706522
"Eddie: The Sleepwalking Cannibal",0,79,0
"Captain America: The Winter Soldier",170000000,136,1250000
"Just Looking",3000000,97,30928
Coriolanus,7700000,123,62602
"Truth or Dare",0,95,0
"Katy Perry: Part of Me",12000000,93,129032
"The Hunger Games: Catching Fire",130000000,146,890411
"Dead Man Down",0,118,0
"The Amazing Spider-Man 2",200000000,142,1408451
Maleficent,180000000,97,1855670
"Sex With Strangers",0,0,NULL
Ant-Man,130000000,117,1111111
"Holy Motors",0,115,0
"Madea's Witness Protection",0,114,0
Maniac,6000000,89,67416
Jagten,3800000,115,33043
Mud,10000000,130,76923
"Outside Bet",7500000,101,74257
"The Lords of Salem",1500000,101,14851
"A Dog Of Flanders",0,96,0
"The Good Dinosaur",175000000,93,1881720
"The Wolf of Wall Street",100000000,180,555556
"Machete Kills",12000000,107,112150
Re-Kill,9500000,87,109195
"Below Zero",0,0,NULL
"21 & Over",13000000,93,139785
"Escape Plan",50000000,115,434783
"The World's End",20000000,109,183486
"Dreaming of Joseph Lees",2000000,92,21739
"The Counselor",25000000,117,213675
42,40000000,128,312500
"This Is the End",32000000,107,299065
"Battle of the Year",20000000,110,181818
"Grown Ups 2",80000000,100,800000
"Side Effects",30000000,106,283019
"Captain Phillips",55000000,134,410448
"Evil Dead",17000000,91,186813
"Identity Thief",35000000,111,315315
"Anchorman 2: The Legend Continues",50000000,119,420168
Frozen,150000000,102,1470588
"Cloudy with a Chance of Meatballs 2",78000000,95,821053
"Beautiful Creatures",60000000,124,483871
"Hit & Run",2000000,100,20000
"The Canyons",250000,99,2525
"Трудно быть богом",7000000,170,41176
Snowpiercer,39200000,126,311111
"The Wicked Lady",0,98,0
Adore,16000000,100,160000
"20 Dates",0,87,0
"The Company",0,276,0
Hardflip,1000000,114,8772
"The Oogieloves in the Big Balloon Adventure",0,88,0
"Safe Haven",28000000,115,243478
"Should've Been Romeo",0,0,NULL
Inchon,46000000,140,328571
"The Sessions",1000000,98,10204
"Down & Out With The Dolls",0,88,0
"Pitch Perfect",17000000,112,151786
"The Helpers",4000000,78,51282
Stitches,100000,86,1163
"La femme de chambre du Titanic",0,100,0
Paddington,55000000,95,578947
"Valley of the Heart's Delight",0,100,0
"The Sweeney",3730500,112,33308
Epic,100000000,102,980392
"The Internship",58000000,119,487395
"The Secret Life of Walter Mitty",90000000,114,789474
Foodfight!,65000000,87,747126
"White House Down",150000000,131,1145038
"Olympus Has Fallen",70000000,120,583333
"Girls Gone Dead",500000,104,4808
"Guardians of the Galaxy",170000000,121,1404959
"First Love, Last Rites",300000,94,3191
After,0,90,0
Bait,30000000,93,322581
Parker,35000000,118,296610
"Dawn of the Planet of the Apes",170000000,130,1307692
$upercapitalist,0,103,0
"El Rey de Najayo",500,101,5
"The Grand Budapest Hotel",30000000,99,303030
Inescapable,0,93,0
Quartet,11000000,98,112245
"Frances Ha",0,86,0
"Spring Breakers",5000000,94,53191
"About Time",0,123,0
"The Hobbit: The Battle of the Five Armies",250000000,144,1736111
"The Mortal Instruments: City of Bones",60000000,130,461538
Jagal,1000000,115,8696
"The Incredible Burt Wonderstone",30000000,100,300000
Bang,0,98,0
"Hurricane Streets",0,86,0
"Among Giants",0,93,0
"Broken Vessels",0,90,0
Antiviral,2400000,110,21818
"Smiling Fish & Goat On Fire",0,90,0
"Chats perchés",0,59,0
"Shanghai Calling",0,98,0
"Ernest et Célestine",12516654,78,160470
"2016: Obama's America",2500000,87,28736
Stolen,35000000,96,364583
"The Railway Man",18000000,116,155172
"X-Men: Days of Future Past",250000000,131,1908397
"The Brass Teapot",0,100,0
"The Gatekeepers",0,101,0
"The To Do List",1500000,104,14423
Nebraska,12000000,115,104348
"Labor Day",18000000,111,162162
"The Hunger Games: Mockingjay - Part 1",125000000,123,1016260
"The Hunger Games: Mockingjay - Part 2",160000000,137,1167883
Mama,15000000,100,150000
"Jab Tak Hai Jaan",0,176,0
"Before Midnight",3000000,108,27778
"The Butler",25000000,132,189394
"The Velocity of Gary",4000000,100,40000
"Promised Land",15000000,106,141509
"Un Plan parfait",0,104,0
Carrie,30000000,100,300000
Zambezia,20000000,83,240964
"Atlas Shrugged Part II",0,112,0
"Pain & Gain",25000000,130,192308
Snitch,35000000,112,312500
"The Collection",0,94,0
"Jurassic World",150000000,124,1209677
"Trade Of Innocents",0,91,0
"2 Guns",61000000,109,559633
"The Heat",43000000,117,367521
"Need for Speed",66000000,130,507692
"No Good Deed",13200000,83,159036
"Last Vegas",28000000,105,266667
"Jack Ryan: Shadow Recruit",60000000,105,571429
"The Lego Movie",60000000,100,600000
"Edge of Tomorrow",178000000,113,1575221
"Winter's Tale",60000000,118,508475
"Closer to the Moon",9000000,112,80357
Crowsnest,1200000,84,14286
"The Expendables 3",90000000,127,708661
"Don Jon",6000000,90,66667
"We're the Millers",37000000,110,336364
"The Conjuring",13000000,112,116071
Treachery,625000,68,9191
"A Haunted House",2500000,86,29070
"Detention of the Dead",500000,87,5747
Burn,225000,86,2616
"Supporting Characters",0,87,0
"Kung Fu Panda 3",145000000,95,1526316
"Saving Mr. Banks",35000000,125,280000
"Batman: The Dark Knight Returns, Part 2",3500000,78,44872
"Sugar Town",0,92,0
Sabotage,35000000,110,318182
Admission,13000000,107,121495
"Muppets Most Wanted",50000000,112,446429
"Triple 9",20000000,115,173913
"The Last Exorcism Part II",5000000,88,56818
"RED 2",84000000,116,724138
Getaway,18000000,90,200000
Prisoners,46000000,153,300654
"Runner Runner",30000000,91,329670
"Delivery Man",26000000,105,247619
"The Young Unknowns",0,87,0
"The Best Man Holiday",17000000,123,138211
U.F.O.,2500000,101,24752
"Le bonheur d'Elza",0,78,0
"Exodus: Gods and Kings",140000000,150,933333
"Khiladi 786",0,139,0
"The Way Way Back",4600000,103,44660
"The Haunting in Connecticut 2: Ghosts of Georgia",0,101,0
"The Frozen",0,0,NULL
"Inside Out",175000000,94,1861702
Cinderella,95000000,105,904762
"Dallas Buyers Club",5000000,117,42735
"The Immigrant",16000000,117,136752
Her,23000000,126,182540
"August: Osage County",25000000,121,206612
"La migliore offerta",13500000,124,108871
"All Is Lost",9000000,106,84906
"The Monuments Men",70000000,118,593220
Metegol,22000000,106,207547
Restless,0,180,0
"The Angry Birds Movie",73000000,97,752577
"Straight A's",7000000,88,79545
"The Equalizer",55000000,132,416667
"30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo",0,80,0
"Tin Can Man",13,84,0
एबीसीडी,0,160,0
Interstellar,165000000,169,976331
Divergent,85000000,139,611511
Transcendence,100000000,119,840336
"Fruitvale Station",0,85,0
"The Spectacular Now",2500000,95,26316
"The Wicked Within",0,91,0
"The Vatican Tapes",13000000,91,142857
Oculus,5000000,104,48077
"The Young and Prodigious T.S. Spivet",33000000,105,314286
Joe,4000000,118,33898
"A Most Wanted Man",15000000,121,123967
"Show Me",0,97,0
"The Call",13000000,94,138298
"The Purge",3000000,86,34884
"How to Fall in Love",4000000,0,NULL
"Escape from Tomorrow",650,90,7
Tomorrowland,190000000,130,1461538
"This Is Martin Bonner",0,83,0
"20 Feet from Stardom",1000000,89,11236
"The Square",0,88,0
"The Dirties",0,83,0
"Hotel Transylvania 2",80000000,89,898876
"Blue Jasmine",18000000,98,183673
"Déjà Vu",0,117,0
"The Big Swap",0,0,NULL
"The Fifth Estate",28000000,128,218750
"Снежная королева",7000000,76,92105
"Out of the Furnace",22000000,116,189655
"One Direction: This Is Us",10000000,92,108696
"Hansel and Gretel Get Baked",4500000,86,52326
"Fantastic Four",120000000,100,1200000
"Treading Water",4700000,92,51087
Brooklyn,11000000,111,99099
"Freaky Deaky",0,90,0
"Furious 7",190000000,137,1386861
"Ride Along",25000000,99,252525
"American Hustle",40000000,138,289855
BloodRayne,25000000,95,263158
"A Walk Among the Tombstones",28000000,113,247788
"The Deported",0,90,0
"The Boxtrolls",60000000,97,618557
"Inherent Vice",20000000,148,135135
"The Green Inferno",5000000,100,50000
"The Lost Medallion: The Adventures of Billy Stone",0,97,0
"Rio 2",103000000,102,1009804
Khumba,20000000,85,235294
"Drinking Buddies",0,90,0
"Along the Roadside",250,118,2
兔侠传奇,19000000,89,213483
"All Is Bright",0,107,0
"Bending Steel",0,93,0
"Jane Got a Gun",25000000,98,255102
"Cheap Thrills",0,85,0
"Baggage Claim",8500000,96,88542
"Black Nativity",17500000,93,188172
"A Madea Christmas",0,100,0
"Free Birds",55000000,91,604396
"Reality Show",0,92,0
"Enter the Dangerous Mind",0,88,0
"Home Run",1200000,114,10526
"Big Hero 6",165000000,102,1617647
"Mission: Impossible - Rogue Nation",150000000,131,1145038
Aroused,0,73,0
"La grande bellezza",12400000,142,87324
"They Came Together",0,84,0
"Deceptive Practice: The Mysteries and Mentors of Ricky Jay",500000,88,5682
"Child 44",50000000,137,364964
"Kevin Hart: Let Me Explain",0,74,0
"Night at the Museum: Secret of the Tomb",127000000,97,1309278
"Arnolds Park",0,103,0
"On The Downlow",0,90,0
"Green Street Hooligans: Underground",0,90,0
Emma,0,240,0
"Think Like a Man Too",24000000,105,228571
Hercules,100000000,99,1010101
"Hands of Stone",20000000,105,190476
"A Haunted House 2",0,87,0
"Deliver Us from Evil",30000000,118,254237
"Cinco de Mayo: La Batalla",10000000,125,80000
"Yeh Jawaani Hai Deewani",7700000,159,48428
Manito,0,78,0
Zulu,16000000,110,145455
Heli,1000000,105,9524
"22 Jump Street",50000000,112,446429
"A Million Ways to Die in the West",0,116,0
"Blue Ruin",0,90,0
"The Legend of Hercules",70000000,99,707071
"The Ghastly Love of Johnny X",0,106,0
"Star Trek Beyond",185000000,122,1516393
"Love in the Time of Monsters",0,0,NULL
"The Last Days on Mars",0,98,0
"American Sniper",58800000,133,442105
"Blood Ties",25500000,128,199219
Iguana,0,88,0
Dabba,1000000,104,9615
"3 Days to Kill",28000000,113,247788
"Palo Alto",0,100,0
"Dom Hemingway",0,93,0
"Mandela: Long Walk to Freedom",35000000,141,248227
"No Escape",5000000,103,48544
"Open Road",3000000,85,35294
キャプテンハーロック,30000000,115,260870
Hayride,60000,93,645
"The Other Woman",40000000,109,366972
"Metallica: Through the Never",18000000,93,193548
R100,5500000,100,55000
"Lone Survivor",40000000,121,330579
"Let's Be Cops",17000000,104,163462
"Short Cut to Nirvana: Kumbh Mela",0,85,0
Birdman,18000000,119,151261
Neighbors,18000000,96,187500
Annie,65000000,119,546218
"Coffee Town",0,87,0
Chappie,49000000,120,408333
"Million Dollar Arm",25000000,124,201613
"Begin Again",8000000,104,76923
"Mutual Friends",0,0,NULL
"The Maze Runner",34000000,113,300885
"The Frozen Ground",27220000,105,259238
"Atlas Shrugged Part III: Who is John Galt?",5000000,99,50505
"Draft Day",25000000,109,229358
Blackhat,70000000,133,526316
"Antarctica: A Year on Ice",1000000,92,10870
"The House of Magic",34000000,85,400000
"The Vatican Exorcisms",0,0,NULL
"The Man from U.N.C.L.E.",75000000,116,646552
"The Book Thief",0,131,0
Homefront,22000000,100,220000
"Before I Go to Sleep",22000000,92,239130
"Independence Daysaster",1800000,86,20930
Philomena,12000000,98,122449
Sharknado,1000000,86,11628
"Gods of Egypt",140000000,127,1102362
"The Judge",50000000,141,354610
"Our Kind of Traitor",0,108,0
"The Imitation Game",14000000,113,123894
"In the Heart of the Sea",100000000,122,819672
"The Sisterhood of Night",0,104,0
"Zombie Hunter",0,93,0
"Grace Unplugged",0,102,0
"The Last Five Years",0,94,0
"Lisa Picard Is Famous",0,90,0
Trash,0,112,0
Spectre,245000000,148,1655405
"Banshee Chapter",950000,87,10920
"Jackass Presents: Bad Grandpa",15000000,92,163043
Viy,26000000,127,204724
Plastic,10,102,0
"Batman v Superman: Dawn of Justice",250000000,151,1655629
"Enough Said",0,93,0
Ida,2159280,80,26991
"Bad Words",9500000,88,107955
"Jersey Boys",40000000,134,298507
"Gone Girl",61000000,145,420690
Mortdecai,60000000,106,566038
"Faith Connections",550000,115,4783
Vessel,0,14,0
Minions,74000000,91,813187
"No se Aceptan Devoluciones",5500000,115,47826
"Ted 2",68000000,115,591304
"Grace of Monaco",30000000,103,291262
Plush,0,98,0
1982,1000000,90,11111
"Los insólitos peces gato",1300000,87,14943
"Fifty Shades of Grey",40000000,125,320000
"Into the Storm",50000000,89,561798
"Hross í oss",10,85,0
"Left Behind",16000000,110,145455
"The Ballad of Gregorio Cortez",0,104,0
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,81,345679
Sparkler,0,96,0
非常幸运,0,114,0
"Her Cry: La Llorona Investigation",0,89,0
"A True Story",0,96,0
Rosewater,0,103,0
"About Last Night",12500000,100,125000
"The Fault in Our Stars",12000000,125,96000
Aloha,37000000,105,352381
"Slow West",0,84,0
"Sausage Party",19000000,83,228916
"Into the Woods",50000000,125,400000
Taxman,0,104,0
"Географ глобус пропил",0,120,0
"That Awkward Moment",8000000,94,85106
Non-Stop,50000000,106,471698
"Sex Tape",40000000,97,412371
"The Christmas Candle",0,100,0
Backmask,0,91,0
Tammy,20000000,97,206186
"Endless Love",20000000,103,194175
"The Giver",25000000,94,265957
"Horrible Bosses 2",42000000,108,388889
Unbroken,65000000,137,474453
"Paranormal Activity: The Marked Ones",5000000,84,59524
"The Adventurer: The Curse of the Midas Box",25000000,99,252525
"Project Almanac",12000000,106,113208
"Dolphin Tale 2",36000000,107,336449
"The Nut Job",0,85,0
"The Peanuts Movie",99000000,88,1125000
"Praia do Futuro",0,106,0
"Victor Frankenstein",40000000,109,366972
Fury,68000000,135,503704
Home,135000000,94,1436170
"The SpongeBob Movie: Sponge Out of Water",74000000,93,795699
"The Hundred-Foot Journey",22000000,122,180328
"McFarland, USA",0,128,0
"The Longest Ride",34000000,128,265625
"The Book of Life",50000000,95,526316
"Raymond Did It",0,83,0
"The Interview",44000000,112,392857
Wild,15000000,115,130435
"Miss Julie",5500000,120,45833
"Wish I Was Here",5500000,120,45833
"Signed, Sealed, Delivered",0,120,0
Blended,40000000,117,341880
"When the Game Stands Tall",15000000,115,130435
Demonic,3000000,83,36145
"Son of God",22000000,138,159420
Addicted,0,105,0
"Heaven is for Real",12000000,99,121212
"Earth to Echo",13000000,89,146067
Self/less,26000000,116,224138
"The Purge: Anarchy",9000000,104,86538
"St. Vincent",13000000,102,127451
"Get on Up",0,139,0
"The Best of Me",26000000,117,222222
"Unfinished Business",35000000,91,384615
"This Is Where I Leave You",19800000,103,192233
Dwegons,0,98,0
Lucy,40000000,89,449438
"A Most Violent Year",20000000,125,160000
"The Boy Next Door",4000000,91,43956
"The Prince",18000000,93,193548
Regression,0,106,0
"Alice Through the Looking Glass",170000000,113,1504425
"Run All Night",50000000,114,438596
"Lords of London",3440000,90,38222
"Beyond the Lights",7000000,116,60345
Hits,1000000,96,10417
"The Signal",4000000,95,42105
"Red Sky",25000000,100,250000
Ouija,5000000,89,56180
"Guten Tag, Ramón",4000000,119,33613
Nightcrawler,8500000,117,72650
"Hot Tub Time Machine 2",14000000,93,150538
"The Lazarus Effect",3300000,83,39759
風暴,0,110,0
"I Origins",0,106,0
"Into the Grizzly Maze",10000000,94,106383
逃出生天,0,107,0
Rudderless,5000000,105,47619
"Happy Christmas",0,82,0
"The Skeleton Twins",0,90,0
"The Sleepwalker",0,92,0
"Song One",6000000,86,69767
Whiplash,3300000,105,31429
"Mr. Turner",0,150,0
"Midnight Special",18000000,112,160714
Strangerland,10000000,111,90090
"Kill the Messenger",5000000,112,44643
Tusk,2800000,102,27451
"Against the Wild",1493619,90,16596
"X-Men: Apocalypse",178000000,144,1236111
"A Fine Step",0,90,0
"Obvious Child",0,83,0
"If I Stay",11000000,106,103774
"American Heist",10000000,94,106383
"The Diary of a Teenage Girl",2000000,98,20408
"Locker 13",0,90,0
Barbecue,6000000,98,61224
Annabelle,6500000,99,65657
"The Image Revolution",50000,81,617
Aloft,8000000,112,71429
"A LEGO Brickumentary",650000,93,6989
"The Perfect Wave",0,113,0
"In the Name of the King III",3500000,85,41176
"While We're Young",10000000,97,103093
"Moms' Night Out",5000000,98,51020
"And So It Goes",18000000,94,191489
Animals,0,90,0
"Born to Fly: Elizabeth Streb vs. Gravity",0,82,0
"Butterfly Girl",0,77,0
Housebound,0,109,0
"Black or White",9000000,121,74380
Everest,55000000,121,454545
刺客聶隱娘,15000000,105,142857
"Good Kill",0,104,0
"The Face of an Angel",0,100,0
"San Andreas",110000000,114,964912
"Pitch Perfect 2",29000000,115,252174
Stung,2500000,87,28736
"Brick Mansions",28000000,90,311111
"The November Man",15000000,108,138889
"Dry Spell",22000,90,244
"Escobar: Paradise Lost",17000000,120,141667
"Baahubali: The Beginning",40000000,159,251572
"Drive Hard",12000000,96,125000
"As Above, So Below",5000000,93,53763
Focus,50100000,105,477143
Swelter,0,96,0
"Wicked Blood",3500000,92,38043
"The Water Diviner",22500000,112,200893
"Danny Collins",10000000,107,93458
"Paul Blart: Mall Cop 2",38000000,94,404255
"Little Boy",20000000,106,188679
"The Veil",4000000,93,43011
"Point Break",105000000,114,921053
"Get Hard",40000000,100,400000
"The Intern",35000000,121,289256
Pixels,88000000,105,838095
Goosebumps,58000000,103,563107
"Dragon Nest: Warriors' Dawn",40000000,88,454545
"The Legend of Tarzan",180000000,109,1651376
"Alvin and the Chipmunks: The Road Chip",0,92,0
"A escondidas",0,96,0
"The Conjuring 2",40000000,134,298507
"How to Be Single",38000000,110,345455
归来,0,111,0
"Taken 3",48000000,109,440367
வாலு,0,155,0
"Something Wicked",3000000,95,31579
"Black Mass",53000000,122,434426
Insurgent,110000000,119,924370
Allegiant,110000000,121,909091
Autómata,7000000,110,63636
"Water & Power",0,0,NULL
Room,6000000,117,51282
"The Homesman",16000000,122,131148
"Ex Machina",15000000,108,138889
"Magic Mike XXL",14800000,115,128696
"Wild Card",30000000,92,326087
"La chambre bleue",0,75,0
"Desert Dancer",0,98,0
"The Gunman",40000000,115,347826
Pan,150000000,111,1351351
"The Theory of Everything",15000000,123,121951
"The Work and The Story",0,70,0
"London Has Fallen",60000000,99,606061
"The BFG",140000000,120,1166667
"Elsa & Fred",10000000,104,96154
"The Second Best Exotic Marigold Hotel",10000000,122,81967
"The Past Is a Grotesque Animal",100,77,1
"Hot Pursuit",35000000,87,402299
"Bang Bang Baby",1000000,90,11111
"It Follows",2000000,100,20000
"Hail, Caesar!",22000000,106,207547
"Echo Dr.",0,85,0
"Falcon Rising",0,103,0
"Penguins of Madagascar",132000000,92,1434783
"Captain America: Civil War",250000000,147,1700680
"Ask Me Anything",950000,100,9500
"United Passions",27000000,110,245455
Trainwreck,35000000,125,280000
Ben-Hur,100000000,125,800000
"The DUFF",8500000,100,85000
"Doc Holliday's Revenge",1000000,84,11905
"Dude Where's My Dog?",0,0,NULL
Max,20000000,111,180180
"The Hateful Eight",44000000,167,263473
Sicario,30000000,121,247934
Selma,20000000,127,157480
Stonewall,13500000,129,104651
"Daddy's Home",50000000,96,520833
Joy,60000000,124,483871
"Give Me Shelter",0,90,0
"The Last Witch Hunter",90000000,106,849057
Legend,25000000,131,190840
"Straight Outta Compton",28000000,147,190476
"Z 風暴",0,92,0
Unfriended,1000000,82,12195
"Da Sweet Blood of Jesus",0,123,0
"The Maid's Room",0,98,0
"The Jungle Book",175000000,106,1650943
"Harrison Montgomery",0,0,NULL
"Insidious: Chapter 3",10000000,97,103093
"House at the End of the Drive",0,91,0
"Pourquoi j'ai pas mangé mon père",0,100,0
ராமானுஜன்,0,170,0
"Gory Gory Hallelujah",0,0,NULL
"Fort McCoy",0,0,NULL
Fugly,0,134,0
"The Revenant",135000000,156,865385
"An American in Hollywood",0,89,0
"The Calling",0,108,0
"Sinister 2",10000000,97,103093
"Jungle Shuffle",0,85,0
"Out of the Dark",0,92,0
"Loin des hommes",7700000,110,70000
"Still Alice",5000000,99,50505
"Top Five",0,102,0
"The Gambler",25000000,111,225225
"Alleluia! The Devil's Carnival",0,0,NULL
"The Walk",35000000,123,284553
Grindhouse,67000000,191,350785
"The Martian",108000000,141,765957
"Paper Towns",12000000,109,110092
"Sanctuary: Quite a Conundrum",0,82,0
Maggie,4000000,95,42105
"Fear Clinic",1,95,0
"Stories of Our Lives",0,60,0
"Call + Response",0,86,0
Krampus,15000000,98,153061
"The Transporter Refueled",25000000,96,260417
"Archaeology of a Woman",0,94,0
Freedom,14500000,98,147959
H.,0,93,0
"Mutant World",0,85,0
"Run, Hide, Die",50000,75,667
Wolves,18000000,90,200000
"The Huntsman: Winter's War",115000000,114,1008772
"Secret in Their Eyes",19500000,111,175676
"Yoga Hosers",5000000,88,56818
一個人的武林,25000000,100,250000
"Red Riding: In the Year of Our Lord 1974",0,102,0
Anomalisa,8000000,90,88889
"Road Hard",1500000,97,15464
"Now You See Me 2",90000000,129,697674
"Dirty Grandpa",11500000,102,112745
"Henry & Me",5000000,67,74627
"Not Cool",0,90,0
"Food Chains",913000,83,11000
"Don Gato: El inicio de la pandilla",8000000,89,89888
"The 33",25000000,120,208333
Deadpool,58000000,108,537037
곡성,0,156,0
"The Age of Adaline",25000000,112,223214
"Tiger Orange",0,75,0
"Maze Runner: The Scorch Trials",61000000,132,462121
"Pete's Dragon",65000000,102,637255
"Alpha and Omega: The Legend of the Saw Tooth Cave",0,53,0
"The Outrageous Sophie Tucker",0,96,0
"Last I Heard",0,98,0
"Brotherly Love",1900000,89,21348
"Kurmanjan Datka. Queen of the Mountains",0,135,0
Burnt,20000000,100,200000
"Me Before You",20000000,110,181818
"Bridge of Spies",40000000,141,283688
Vacation,31000000,99,313131
"The Hadza:  Last of the First",0,70,0
"The Little Ponderosa Zoo",500000,84,5952
"Dying of the Light",15000000,94,159574
"There's Always Woodstock",0,90,0
"Suicide Squad",175000000,123,1422764
"The Visit",5000000,94,53191
"Cabin Fever",0,99,0
"Dawn Patrol",0,86,0
"The Gallows",100000,87,1149
"Born Of War",0,109,0
"Shark Lake",2000000,92,21739
"The 5th Wave",38000000,112,339286
天將雄師,65000000,127,511811
"Death Calls",0,0,NULL
"13 Hours: The Secret Soldiers of Benghazi",50000000,144,347222
"The Finest Hours",80000000,114,701754
"Let's Kill Ward's Wife",5000000,81,61728
#Horror,1500000,90,16667
"We Are Your Friends",6000000,96,62500
"The Neon Demon",7000000,117,59829
"Opposite Sex",3300000,96,34375
Criminal,31500000,113,278761
"Naturally Native",700000,107,6542
"My Big Fat Greek Wedding 2",18000000,94,191489
"Central Intelligence",50000000,107,467290
"Money Monster",27000000,98,275510
"Woman in Gold",11000000,120,91667
"La Famille Bélier",11000000,105,104762
"Horse Camp",0,108,0
Freeheld,7000000,103,67961
Southpaw,30000000,123,243902
Roadside,0,90,0
"Kickboxer: Vengeance",17000000,90,188889
"Teenage Mutant Ninja Turtles: Out of the Shadows",135000000,112,1205357
Dope,700000,103,6796
"Do You Believe?",0,115,0
Zipper,0,103,0
"The Little Prince",64000000,92,695652
"The Curse of Downers Grove",2000000,89,22472
"The Witch",3500000,92,38043
"Que Horas Ela Volta?",0,110,0
"Black Water Transit",0,100,0
"Bleeding Hearts",0,0,NULL
"Black November",12500000,95,131579
Creed,37000000,133,278195
GirlHouse,3150000,100,31500
"Walking with the Dead",0,90,0
"Green Room",5000000,95,52632
Spotlight,20000000,128,156250
"By the Sea",10000000,122,81967
シン・ゴジラ,15000000,120,125000
"Florence Foster Jenkins",29000000,110,263636
"Accidental Love",26000000,100,260000
"Free State of Jones",50000000,139,359712
"The Purge: Election Year",10000000,105,95238
Compadres,3000000,101,29703
Bizarre,0,99,0
"The Big Short",28000000,130,215385
"The Young Messiah",18500000,120,154167
"Censored Voices",0,84,0
"Eddie the Eagle",23000000,106,216981
"Broken Horses",0,101,0
"Creative Control",1000000,97,10309
UnDivided,0,0,NULL
"The Boy",10000000,97,103093
"Steve Jobs",30000000,122,245902
Concussion,35000000,123,284553
Subconscious,0,110,0
"The Timber",0,81,0
Counting,50000,111,450
"The Horror Network Vol. 1",0,0,NULL
Unsullied,0,93,0
"Ride Along 2",40000000,102,392157
"The Boss",29000000,91,318681
Race,5000000,134,37313
Walter,700000,87,8046
"They Will Have to Kill Us First",522360,105,4975
"Anderson's Cross",300000,98,3061
"Jason Bourne",120000000,123,975610
"Teeth and Blood",0,96,0
"Neighbors 2: Sorority Rising",35000000,91,384615
"Hum To Mohabbat Karega",0,0,NULL
"Close Range",0,80,0
"Two Lovers and a Bear",0,96,0
"Diamond Ruff",0,0,NULL
"The Infiltrator",25000000,127,196850
"Pound of Flesh",7500000,104,72115
"Dawn of the Crescent Moon",0,95,0
"Skin Trade",9000000,96,93750
"The Secret Life of Pets",75000000,87,862069
"Rise of the Entrepreneur: The Search for a Better Way",0,0,NULL
Nerve,20000000,96,208333
"The Gift",5000000,108,46296
"The Forest",10000000,95,105263
"The Marine 4: Moving Target",1950000,90,21667
"Zoolander 2",50000000,100,500000
Évolution,0,81,0
Captive,2000000,97,20619
"Light from the Darkroom",0,0,NULL
Listening,0,100,0
"Top Spin",0,80,0
Antibirth,35000000,94,372340
"I Am Wrath",18000000,92,195652
"The Shallows",17000000,86,197674
"Love the Coopers",17000000,107,158879
"Star Wars: Clone Wars (Volume 1)",0,69,0
"10 Cloverfield Lane",15000000,103,145631
Survivor,20000000,96,208333
"Criminal Activities",7000000,94,74468
"My All American",20000000,118,169492
"Antarctic Edge: 70° South",0,72,0
Risen,20000000,107,186916
Circle,0,87,0
Childless,0,90,0
Heist,8900000,93,95699
"The Birth of a Nation",8500000,120,70833
"Miracles from Heaven",16000000,117,136752
Indignation,0,110,0
"Christmas Eve",0,95,0
